Timestamp,AvgFPS,AvgFrameMs,MaxFrameMs,P95FrameMs,GCAvgPerFrame_B,GCMaxPerFrame_B,MonoHeapMB,TotalMemMB,EnemyCount
2026-06-26 21:03:26,0.1,9813.29,9813.29,9813.29,0,0,1018.87,2658.74,9
2026-06-26 21:03:29,0.3,3560.88,3560.88,3560.88,0,0,1029.12,2765.61,9
2026-06-26 21:03:30,0.8,1217.96,1217.96,1217.96,62777688,62777688,1068.43,2793.33,9
2026-06-26 21:03:31,25.6,39.11,254.59,95.16,70522,868769,1069.34,2821.22,9
2026-06-26 21:03:32,91.9,10.89,49.46,20.08,20595,105370,1070.10,2881.96,9
2026-06-26 21:03:33,111.1,9.00,32.08,16.84,19893,201501,1071.06,2930.99,9
2026-06-26 21:03:34,36.1,27.68,476.41,200.65,33655,417095,1071.79,2934.41,9
2026-06-26 21:03:35,208.8,4.79,14.96,11.13,9814,54473,1072.63,3029.24,9
2026-06-26 21:03:36,235.9,4.24,20.55,7.09,10366,148303,1073.73,3130.95,9
2026-06-26 21:03:37,230.2,4.34,67.24,7.06,10567,234153,1074.85,3233.93,9
2026-06-26 21:03:38,261.8,3.82,14.79,6.18,9514,30005,1075.85,3350.45,9
2026-06-26 21:03:39,251.7,3.97,11.59,7.55,9690,73085,1076.90,3473.75,9
2026-06-26 21:03:40,172.5,5.80,188.36,8.58,9802,30610,1077.78,3601.84,9
2026-06-26 21:03:41,261.9,3.82,27.83,6.34,9551,29971,1079.10,3741.37,9
2026-06-26 21:03:42,272.0,3.68,14.04,4.96,9494,29971,1081.18,3740.87,9
2026-06-26 21:03:43,256.9,3.89,24.14,6.00,9482,30459,1083.67,3724.18,9
2026-06-26 21:03:44,260.8,3.83,15.20,6.01,9564,29971,1086.22,3707.91,9
2026-06-26 21:03:45,204.5,4.89,130.75,9.09,9927,90554,1088.28,3706.64,9
2026-06-26 21:03:46,184.8,5.41,18.87,11.64,9877,42569,1090.11,3695.78,9
2026-06-26 21:03:47,228.5,4.38,30.68,10.14,9479,30121,1092.32,3696.38,9
2026-06-26 21:03:48,256.5,3.90,19.35,6.33,9483,29557,1094.82,3684.10,9
2026-06-26 21:03:49,258.5,3.87,19.15,5.81,9387,30309,1097.29,3676.02,9
2026-06-26 21:03:50,267.9,3.73,8.65,5.53,9420,29263,1099.87,3665.35,9
2026-06-26 21:03:51,257.2,3.89,36.01,6.40,9565,29643,1102.39,3661.43,9
2026-06-26 21:03:52,239.8,4.17,25.60,7.06,9513,30459,1104.72,3661.21,9
2026-06-26 21:03:53,230.2,4.34,28.50,7.73,9609,29663,1106.99,3659.13,9
2026-06-26 21:03:54,255.3,3.92,26.16,6.82,9494,36317,1109.48,3649.07,9
2026-06-26 21:03:55,273.5,3.66,12.67,5.39,9372,29167,1112.10,3637.27,9
2026-06-26 21:03:56,276.2,3.62,17.61,5.45,9594,36807,1114.82,3622.49,8
2026-06-26 21:03:57,268.5,3.72,15.69,5.73,9523,29719,1117.44,3603.60,8
2026-06-26 21:03:58,269.8,3.71,12.95,4.92,9478,29875,1120.06,3582.79,8
2026-06-26 21:03:59,258.7,3.87,21.13,6.66,9365,31243,1122.55,3568.98,8
2026-06-26 21:04:00,277.8,3.60,15.83,7.50,9465,35105,1125.24,3546.64,8
2026-06-26 21:04:01,299.0,3.34,9.58,4.65,9444,33057,1128.12,3529.77,8
2026-06-26 21:04:02,299.5,3.34,7.24,4.59,9416,29321,1131.02,3521.93,8
2026-06-26 21:04:03,293.0,3.41,7.55,4.63,9481,29995,1133.86,3517.75,8
2026-06-26 21:04:04,283.4,3.53,13.47,4.84,9437,29995,1136.59,3515.24,8
2026-06-26 21:04:05,281.8,3.55,7.64,4.77,9345,29839,1139.29,3507.33,8
2026-06-26 21:04:06,284.4,3.52,8.27,4.48,9348,32867,1142.00,3500.47,8
2026-06-26 21:04:07,287.4,3.48,13.23,4.96,9554,37622,1144.82,3499.53,8
2026-06-26 21:04:08,285.6,3.50,10.16,4.77,9583,29899,1147.67,3492.11,8
2026-06-26 21:04:09,268.7,3.72,26.39,5.07,9509,29199,1150.63,3480.77,8
2026-06-26 21:04:10,245.9,4.07,17.09,5.68,9763,56491,1153.41,3475.90,8
2026-06-26 21:04:12,188.5,5.31,13.32,6.97,9705,45095,1155.54,3477.50,8
2026-06-26 21:04:13,225.7,4.43,25.93,7.40,9491,29199,1158.02,3480.23,8
2026-06-26 21:04:14,277.3,3.61,9.57,5.06,9576,30831,1161.11,3481.47,8
2026-06-26 21:04:15,188.6,5.30,34.61,10.10,9646,30980,1163.22,3481.76,8
2026-06-26 21:04:16,230.9,4.33,28.09,9.22,9640,29299,1030.91,3463.62,8
2026-06-26 21:04:17,289.3,3.46,12.95,4.89,9702,55573,1031.30,3459.93,8
2026-06-26 21:04:18,283.4,3.53,13.43,4.67,9436,29719,1031.75,3459.05,8
2026-06-26 21:04:19,285.6,3.50,10.24,4.34,9496,29915,1032.22,3455.42,8
2026-06-26 21:04:20,248.7,4.02,37.03,6.47,9698,36571,1032.64,3449.12,8
2026-06-26 21:04:21,170.6,5.86,19.84,7.42,9737,29875,1032.94,3448.49,8
2026-06-26 21:04:22,140.9,7.10,19.84,13.33,10080,29547,1033.20,3451.70,8
2026-06-26 21:04:23,195.9,5.10,13.43,11.51,9609,29279,1033.62,3451.52,8
2026-06-26 21:04:24,277.5,3.60,13.27,4.96,9472,29719,1034.51,3449.76,8
2026-06-26 21:04:25,277.7,3.60,14.47,4.68,9481,29719,1035.41,3450.77,8
2026-06-26 21:04:26,261.9,3.82,46.74,4.96,10247,108143,1036.58,3447.98,8
