Timestamp,AvgFPS,AvgFrameMs,MaxFrameMs,P95FrameMs,GCAvgPerFrame_B,GCMaxPerFrame_B,MonoHeapMB,TotalMemMB,EnemyCount
2026-06-27 18:00:29,109.4,9.14,271.81,6.92,4236,416721,5.54,312.74,9
2026-06-27 18:00:30,152.3,6.57,6.97,6.80,19,2086,5.54,312.75,9
2026-06-27 18:00:31,150.7,6.64,7.08,6.86,1067,139330,5.73,312.94,9
2026-06-27 18:00:33,111.4,8.98,215.22,9.46,13,1208,5.73,313.01,9
2026-06-27 18:00:35,0.8,1326.93,2144.13,2144.13,831,1204,5.73,313.11,9
2026-06-27 18:00:36,128.2,7.80,68.48,8.26,1096,113796,5.87,314.25,9
2026-06-27 18:00:37,141.0,7.09,9.34,7.64,250,27292,5.90,314.78,9
2026-06-27 18:00:38,134.0,7.46,21.21,8.02,1520,205042,6.14,316.01,9
2026-06-27 18:00:39,145.2,6.89,8.81,7.69,27,1210,6.14,316.02,9
2026-06-27 18:00:40,157.2,6.36,7.18,6.94,44,1234,6.15,316.04,9
2026-06-27 18:00:41,154.7,6.46,7.83,7.07,25,1234,6.16,316.16,9
2026-06-27 18:00:42,151.5,6.60,7.78,7.27,10,742,6.16,316.12,9
2026-06-27 18:00:43,152.1,6.57,7.92,7.10,11,740,6.16,316.24,9
2026-06-27 18:00:44,153.7,6.51,10.55,7.18,51,3954,6.18,316.40,9
2026-06-27 18:00:45,145.2,6.89,39.79,7.96,42,4200,6.18,316.95,9
2026-06-27 18:00:46,82.8,12.08,22.83,22.62,20,744,6.19,316.92,9
2026-06-27 18:00:47,150.0,6.67,7.73,7.29,11,744,6.19,316.97,9
2026-06-27 18:00:48,149.2,6.70,7.83,7.21,11,740,6.19,316.91,9
2026-06-27 18:00:49,149.5,6.69,9.05,7.31,12,740,6.20,317.10,9
2026-06-27 18:00:50,154.5,6.47,7.68,7.05,11,740,6.20,317.07,9
2026-06-27 18:00:51,153.8,6.50,7.97,7.07,11,740,6.20,317.14,9
2026-06-27 18:00:52,153.7,6.51,7.59,7.07,11,740,6.20,317.10,9
2026-06-27 18:00:53,154.3,6.48,7.85,7.09,11,740,6.20,317.14,9
2026-06-27 18:00:54,155.6,6.43,7.88,7.09,24,2036,6.21,317.34,9
2026-06-27 18:00:55,154.1,6.49,7.48,7.13,22,1718,6.21,317.38,9
2026-06-27 18:00:56,100.8,9.92,12.95,12.59,23,742,6.21,317.44,9
2026-06-27 18:00:57,151.1,6.62,7.90,7.23,24,1718,6.22,317.55,9
2026-06-27 18:00:58,152.1,6.57,7.76,7.15,35,4470,6.22,317.49,9
2026-06-27 18:00:59,150.9,6.63,7.55,7.26,10,742,6.22,317.52,9
2026-06-27 18:01:00,150.1,6.66,8.02,7.12,12,740,6.23,317.51,9
2026-06-27 18:01:01,146.7,6.82,16.77,7.32,65,7502,6.24,317.94,9
2026-06-27 18:01:02,148.6,6.73,8.73,7.45,11,744,6.24,317.89,9
